starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 01 09:44:50 2019	1554122690	0	2010	2010	9
Mon Apr 01 09:44:50 2019	1554122690	0	2674	2675	674
Mon Apr 01 09:44:50 2019	1554122690	0	4011	4011	2011
Mon Apr 01 09:44:50 2019	1554122690	0	4675	4675	2675
Mon Apr 01 09:46:18 2019	1554122778	0	4996	4997	4996
Mon Apr 01 09:45:37 2019	1554122737	0	4998	4998	4997
Mon Apr 01 09:46:22 2019	1554122782	0	4998	4998	4998
Mon Apr 01 09:46:56 2019	1554122816	0	4998	4998	4998
Mon Apr 01 09:47:14 2019	1554122834	0	4998	4998	4998
Mon Apr 01 09:45:32 2019	1554122732	0	4998	4998	4998
Mon Apr 01 09:46:43 2019	1554122803	0	4998	4998	4998
Mon Apr 01 09:46:30 2019	1554122790	0	4999	4999	4998
Mon Apr 01 09:47:26 2019	1554122846	0	4999	4999	4998
Mon Apr 01 09:51:42 2019	1554123102	0	4999	4999	4998
Mon Apr 01 09:45:22 2019	1554122722	0	4999	4999	4999
Mon Apr 01 09:46:32 2019	1554122792	0	4999	4999	4999
Mon Apr 01 09:46:20 2019	1554122780	0	4999	4999	4999
Mon Apr 01 09:45:10 2019	1554122710	0	4999	4999	4999
Mon Apr 01 09:45:35 2019	1554122735	0	4999	4999	4999
Mon Apr 01 09:46:15 2019	1554122775	0	4999	5000	4999
Mon Apr 01 09:45:12 2019	1554122712	0	4999	5000	4999
Mon Apr 01 09:46:20 2019	1554122780	0	5000	5000	4999
Mon Apr 01 09:46:00 2019	1554122760	1	4998	5000	4998
Mon Apr 01 09:46:21 2019	1554122781	0	5000	5000	5000
Mon Apr 01 09:45:01 2019	1554122701	0	4999	5000	4999
Mon Apr 01 09:45:07 2019	1554122707	0	4999	5000	4999
Mon Apr 01 09:46:20 2019	1554122780	0	4999	5000	4999
Mon Apr 01 09:46:17 2019	1554122777	0	5000	5000	5000
Mon Apr 01 09:45:11 2019	1554122711	0	5000	5000	5000
Mon Apr 01 09:45:57 2019	1554122757	0	5000	5000	5000
Mon Apr 01 09:45:16 2019	1554122716	0	5000	5000	5000
Mon Apr 01 09:46:42 2019	1554122802	0	5000	5000	4999
Mon Apr 01 09:46:05 2019	1554122765	0	5000	5000	5000
Mon Apr 01 09:44:57 2019	1554122697	0	5000	5000	5000
Mon Apr 01 09:46:06 2019	1554122766	0	5000	5000	5000
Mon Apr 01 09:45:06 2019	1554122706	0	5000	5000	5000
Mon Apr 01 09:44:52 2019	1554122692	0	5000	5000	5000
Mon Apr 01 09:45:02 2019	1554122702	0	5000	5000	5000
Mon Apr 01 09:46:28 2019	1554122788	0	5000	5000	5000
Mon Apr 01 09:46:15 2019	1554122775	1	5000	5000	5000
Mon Apr 01 09:45:40 2019	1554122740	0	5000	5000	5000
Mon Apr 01 09:47:00 2019	1554122820	0	5000	5000	5000
Mon Apr 01 09:45:53 2019	1554122753	1	5000	5000	4999
Mon Apr 01 09:46:37 2019	1554122797	0	5000	5000	5000
Mon Apr 01 09:45:52 2019	1554122752	0	5000	5000	5000
Mon Apr 01 09:45:25 2019	1554122725	0	5000	5000	5000
Mon Apr 01 09:45:55 2019	1554122755	0	5000	5000	5000
Mon Apr 01 09:46:40 2019	1554122800	0	5000	5001	5000
Mon Apr 01 09:46:54 2019	1554122814	0	5000	5001	5000
Mon Apr 01 09:45:25 2019	1554122725	0	5000	5001	5000
Mon Apr 01 09:47:21 2019	1554122841	0	5001	5001	5001
Mon Apr 01 09:46:15 2019	1554122775	0	5000	5001	4999
Mon Apr 01 09:46:50 2019	1554122810	0	5000	5001	5000
Mon Apr 01 09:46:02 2019	1554122762	0	5001	5001	5001
Mon Apr 01 09:51:08 2019	1554123068	0	5001	5001	5001
Mon Apr 01 09:46:20 2019	1554122780	0	5001	5001	5001
Mon Apr 01 09:46:13 2019	1554122773	0	5001	5001	5001
Mon Apr 01 09:46:02 2019	1554122762	0	5001	5001	5001
Mon Apr 01 09:45:04 2019	1554122704	0	5001	5001	5000
Mon Apr 01 09:47:09 2019	1554122829	0	5001	5001	5001
Mon Apr 01 09:46:35 2019	1554122795	1	5000	5001	5000
Mon Apr 01 09:46:12 2019	1554122772	0	5001	5001	5001
Mon Apr 01 09:45:21 2019	1554122721	0	5001	5001	5001
Mon Apr 01 09:45:25 2019	1554122725	1	5000	5001	5000
Mon Apr 01 09:46:05 2019	1554122765	0	5001	5001	5001
Mon Apr 01 09:45:54 2019	1554122754	0	5001	5001	5001
Mon Apr 01 09:46:08 2019	1554122768	0	5001	5001	5000
Mon Apr 01 09:51:48 2019	1554123108	0	5001	5001	5001
Mon Apr 01 09:45:43 2019	1554122743	0	5001	5001	5001
Mon Apr 01 09:46:57 2019	1554122817	0	5001	5001	5001
Mon Apr 01 09:45:46 2019	1554122746	0	5001	5001	5001
Mon Apr 01 09:46:35 2019	1554122795	1	5000	5001	5000
Mon Apr 01 09:45:55 2019	1554122755	0	5001	5001	5001
Mon Apr 01 09:46:05 2019	1554122765	0	5001	5001	5001
Mon Apr 01 09:44:56 2019	1554122696	0	5001	5001	5000
Mon Apr 01 09:45:29 2019	1554122729	0	5001	5001	5001
Mon Apr 01 09:45:42 2019	1554122742	0	5001	5001	5001
Mon Apr 01 09:46:25 2019	1554122785	0	5001	5001	5001
Mon Apr 01 09:46:07 2019	1554122767	0	5001	5001	5001
Mon Apr 01 09:47:36 2019	1554122856	0	5001	5001	5001
Mon Apr 01 09:46:01 2019	1554122761	1	5001	5001	5000
Mon Apr 01 09:46:15 2019	1554122775	0	5001	5001	5001
Mon Apr 01 09:45:05 2019	1554122705	0	5001	5001	5001
Mon Apr 01 09:45:38 2019	1554122738	0	5001	5001	5001
Mon Apr 01 09:47:02 2019	1554122822	0	5001	5001	5001
Mon Apr 01 09:45:27 2019	1554122727	0	5001	5001	5001
Mon Apr 01 09:46:12 2019	1554122772	1	5001	5001	5001
Mon Apr 01 09:45:27 2019	1554122727	0	5001	5002	5001
Mon Apr 01 09:46:20 2019	1554122780	2	5000	5002	4999
Mon Apr 01 09:45:41 2019	1554122741	0	5001	5002	5001
Mon Apr 01 09:45:47 2019	1554122747	0	5002	5002	5001
Mon Apr 01 09:46:27 2019	1554122787	0	5002	5002	5001
Mon Apr 01 09:51:08 2019	1554123068	0	5002	5002	5001
Mon Apr 01 09:51:48 2019	1554123108	0	5002	5002	5002
Mon Apr 01 09:46:05 2019	1554122765	0	5002	5002	5001
Mon Apr 01 09:45:30 2019	1554122730	0	5002	5002	5001
Mon Apr 01 09:45:35 2019	1554122735	0	5002	5002	5001
Mon Apr 01 09:45:49 2019	1554122749	0	5002	5002	5001
Mon Apr 01 09:51:47 2019	1554123107	0	5002	5002	5002
Mon Apr 01 09:45:37 2019	1554122737	0	5002	5002	5002
Mon Apr 01 09:46:50 2019	1554122810	0	5002	5002	5002
Mon Apr 01 09:46:53 2019	1554122813	0	5001	5002	5001
Mon Apr 01 09:45:47 2019	1554122747	0	5002	5002	5002
Mon Apr 01 09:45:48 2019	1554122748	0	5002	5002	5002
Mon Apr 01 09:46:35 2019	1554122795	1	5001	5002	5000
Mon Apr 01 09:45:59 2019	1554122759	0	5001	5002	5001
Mon Apr 01 09:46:05 2019	1554122765	0	5002	5002	5002
Mon Apr 01 09:46:10 2019	1554122770	0	5002	5002	5001
Mon Apr 01 09:46:35 2019	1554122795	0	5002	5002	5001
Mon Apr 01 09:46:15 2019	1554122775	0	5002	5002	5001
Mon Apr 01 09:46:11 2019	1554122771	0	5002	5002	5002
Mon Apr 01 09:45:30 2019	1554122730	0	5002	5002	5001
Mon Apr 01 09:46:00 2019	1554122760	3	4998	5002	4998
Mon Apr 01 09:46:25 2019	1554122785	0	5002	5002	5002
Mon Apr 01 09:51:43 2019	1554123103	0	5002	5002	5001
Mon Apr 01 09:45:00 2019	1554122700	0	5002	5002	5002
Mon Apr 01 09:46:50 2019	1554122810	0	5002	5002	5001
Mon Apr 01 09:46:52 2019	1554122812	0	5002	5002	5001
Mon Apr 01 09:45:20 2019	1554122720	0	5002	5002	5002
Mon Apr 01 09:45:25 2019	1554122725	0	5002	5002	5002
Mon Apr 01 09:46:03 2019	1554122763	0	5002	5002	5001
Mon Apr 01 09:46:35 2019	1554122795	0	5002	5002	5002
Mon Apr 01 09:46:39 2019	1554122799	0	5002	5002	5002
Mon Apr 01 09:46:09 2019	1554122769	0	5002	5002	5002
Mon Apr 01 09:46:00 2019	1554122760	0	5002	5002	5002
Mon Apr 01 09:46:33 2019	1554122793	0	5002	5002	5002
Mon Apr 01 09:44:59 2019	1554122699	0	5002	5002	5002
Mon Apr 01 09:45:18 2019	1554122718	0	5002	5002	5002
Mon Apr 01 09:46:34 2019	1554122794	0	5002	5002	5002
Mon Apr 01 09:45:17 2019	1554122717	0	5002	5002	5002
Mon Apr 01 09:51:43 2019	1554123103	1	5002	5002	5001
Mon Apr 01 09:45:25 2019	1554122725	0	5002	5002	5002
Mon Apr 01 09:46:10 2019	1554122770	0	5002	5002	5002
Mon Apr 01 09:45:45 2019	1554122745	0	5002	5002	5002
Mon Apr 01 09:45:19 2019	1554122719	0	5002	5002	5002
Mon Apr 01 09:45:32 2019	1554122732	0	5002	5002	5002
Mon Apr 01 09:45:33 2019	1554122733	0	5002	5002	5002
Mon Apr 01 09:46:40 2019	1554122800	0	5002	5002	5002
Mon Apr 01 09:45:55 2019	1554122755	0	5002	5002	5002
Mon Apr 01 09:45:28 2019	1554122728	0	5002	5002	5002
Mon Apr 01 09:45:10 2019	1554122710	0	5002	5002	5002
Mon Apr 01 09:45:23 2019	1554122723	0	5002	5002	5002
Mon Apr 01 09:45:50 2019	1554122750	0	5002	5002	5002
Mon Apr 01 09:46:50 2019	1554122810	0	5002	5002	5002
Mon Apr 01 09:46:52 2019	1554122812	0	5002	5002	5002
Mon Apr 01 09:45:40 2019	1554122740	0	5002	5002	5002
Mon Apr 01 09:45:24 2019	1554122724	0	5002	5002	5002
Mon Apr 01 09:45:44 2019	1554122744	0	5002	5002	5002
Mon Apr 01 09:46:38 2019	1554122798	0	5002	5002	5002
Mon Apr 01 09:46:00 2019	1554122760	0	5002	5002	5002
Mon Apr 01 09:44:58 2019	1554122698	0	5002	5002	5002
Mon Apr 01 09:45:00 2019	1554122700	0	5002	5003	5002
Mon Apr 01 09:46:51 2019	1554122811	0	5002	5003	5002
Mon Apr 01 09:45:35 2019	1554122735	0	5002	5003	5001
Mon Apr 01 09:47:31 2019	1554122851	0	5003	5003	5002
Mon Apr 01 09:46:55 2019	1554122815	0	5003	5003	5002
Mon Apr 01 09:46:23 2019	1554122783	0	5003	5003	5002
Mon Apr 01 09:46:27 2019	1554122787	0	5003	5003	5002
Mon Apr 01 09:45:14 2019	1554122714	0	5003	5003	5002
Mon Apr 01 09:45:15 2019	1554122715	0	5003	5003	5002
Mon Apr 01 09:46:30 2019	1554122790	0	5003	5003	5002
Mon Apr 01 09:44:53 2019	1554122693	0	5003	5003	5002
Mon Apr 01 09:46:55 2019	1554122815	0	5003	5003	5003
Mon Apr 01 09:46:29 2019	1554122789	0	5003	5003	5003
Mon Apr 01 09:45:40 2019	1554122740	1	5002	5003	5002
Mon Apr 01 09:45:22 2019	1554122722	0	5003	5003	5003
Mon Apr 01 09:46:42 2019	1554122802	0	5003	5003	5003
Mon Apr 01 09:46:25 2019	1554122785	0	5003	5003	5002
Mon Apr 01 09:45:35 2019	1554122735	3	5000	5003	5000
Mon Apr 01 09:46:30 2019	1554122790	0	5003	5003	5002
Mon Apr 01 09:46:30 2019	1554122790	0	5003	5003	5002
Mon Apr 01 09:46:47 2019	1554122807	0	5003	5003	5003
Mon Apr 01 09:46:31 2019	1554122791	0	5003	5003	5003
Mon Apr 01 09:45:30 2019	1554122730	0	5003	5003	5002
Mon Apr 01 09:45:00 2019	1554122700	0	5003	5003	5002
Mon Apr 01 09:45:13 2019	1554122713	0	5003	5003	5003
Mon Apr 01 09:46:45 2019	1554122805	0	5003	5003	5003
Mon Apr 01 09:46:41 2019	1554122801	0	5003	5003	5003
Mon Apr 01 09:45:35 2019	1554122735	1	5002	5003	5001
Mon Apr 01 09:45:34 2019	1554122734	0	5003	5003	5003
Mon Apr 01 09:45:45 2019	1554122745	0	5003	5003	5002
Mon Apr 01 09:46:37 2019	1554122797	1	5003	5003	5002
Mon Apr 01 09:45:08 2019	1554122708	0	5003	5003	5002
Mon Apr 01 09:46:25 2019	1554122785	0	5003	5003	5003
Mon Apr 01 09:45:10 2019	1554122710	1	5003	5004	5003
Mon Apr 01 09:45:40 2019	1554122740	0	5003	5004	5002
Mon Apr 01 09:45:50 2019	1554122750	0	5003	5004	5003
Mon Apr 01 09:46:30 2019	1554122790	1	5003	5004	5002
Mon Apr 01 09:45:05 2019	1554122705	1	5003	5004	5003
Mon Apr 01 09:45:12 2019	1554122712	0	5004	5004	5003
Mon Apr 01 09:46:45 2019	1554122805	0	5003	5004	5003
Mon Apr 01 09:46:24 2019	1554122784	0	5004	5004	5003
Mon Apr 01 09:46:26 2019	1554122786	0	5003	5004	5003
Mon Apr 01 09:45:51 2019	1554122751	0	5004	5004	5003
Mon Apr 01 09:45:15 2019	1554122715	0	5004	5004	5002
Mon Apr 01 09:45:09 2019	1554122709	0	5004	5004	5004
Mon Apr 01 09:46:19 2019	1554122779	0	5003	5004	5003
Mon Apr 01 09:45:10 2019	1554122710	1	5003	5004	5002
Mon Apr 01 09:46:17 2019	1554122777	0	5004	5004	5004
Mon Apr 01 09:45:02 2019	1554122702	0	5004	5004	5004
Mon Apr 01 09:45:20 2019	1554122720	1	5003	5004	5003
Mon Apr 01 09:45:10 2019	1554122710	2	5002	5004	5002
Mon Apr 01 09:44:57 2019	1554122697	0	5004	5004	5003
Mon Apr 01 09:45:00 2019	1554122700	0	5004	5004	5003
Mon Apr 01 09:46:16 2019	1554122776	0	5003	5004	5003
Mon Apr 01 09:46:25 2019	1554122785	0	5004	5004	5003
Mon Apr 01 09:46:50 2019	1554122810	0	5004	5004	5003
Mon Apr 01 09:45:05 2019	1554122705	0	5004	5004	5003
Mon Apr 01 09:45:50 2019	1554122750	0	5004	5004	5004
Mon Apr 01 09:45:55 2019	1554122755	0	5004	5004	5002
Mon Apr 01 09:45:57 2019	1554122757	0	5004	5004	5004
Mon Apr 01 09:45:56 2019	1554122756	0	5004	5004	5004
Mon Apr 01 09:45:07 2019	1554122707	0	5004	5004	5004
Mon Apr 01 09:45:52 2019	1554122752	0	5004	5004	5004
Mon Apr 01 09:45:30 2019	1554122730	0	5004	5004	5002
Mon Apr 01 09:45:15 2019	1554122715	0	5004	5004	5003
Mon Apr 01 09:45:40 2019	1554122740	0	5004	5004	5004
Mon Apr 01 09:45:03 2019	1554122703	0	5004	5004	5004
Mon Apr 01 09:45:05 2019	1554122705	0	5004	5004	5003
