starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 13:09:56 2019	1553789396	1	2003	2004	2
Thu Mar 28 13:09:56 2019	1553789396	1	2003	2004	2
Thu Mar 28 13:09:56 2019	1553789396	0	2004	2004	3
Thu Mar 28 13:09:56 2019	1553789396	0	2813	2814	812
Thu Mar 28 13:12:27 2019	1553789547	0	3185	3185	1184
Thu Mar 28 13:11:45 2019	1553789505	0	3186	3186	1185
Thu Mar 28 13:11:25 2019	1553789485	0	3186	3186	1185
Thu Mar 28 13:11:23 2019	1553789483	0	3186	3187	1185
Thu Mar 28 13:11:19 2019	1553789479	0	3187	3187	1186
Thu Mar 28 13:12:25 2019	1553789545	1	3187	3188	1185
Thu Mar 28 13:12:31 2019	1553789551	0	3187	3188	1187
Thu Mar 28 13:12:35 2019	1553789555	0	3188	3188	1187
Thu Mar 28 13:11:53 2019	1553789513	0	3188	3188	1188
Thu Mar 28 13:10:40 2019	1553789440	0	3188	3189	1188
Thu Mar 28 13:11:27 2019	1553789487	0	3189	3189	1186
Thu Mar 28 13:12:01 2019	1553789521	1	3189	3189	1189
Thu Mar 28 13:11:39 2019	1553789499	0	3189	3189	1187
Thu Mar 28 13:12:37 2019	1553789557	0	3189	3190	1188
Thu Mar 28 13:12:45 2019	1553789565	1	3189	3190	1187
Thu Mar 28 13:11:59 2019	1553789519	0	3190	3190	1189
Thu Mar 28 13:12:39 2019	1553789559	0	3190	3190	1189
Thu Mar 28 13:10:38 2019	1553789438	0	3190	3190	1191
Thu Mar 28 13:12:41 2019	1553789561	0	3190	3190	1189
Thu Mar 28 13:12:47 2019	1553789567	0	3190	3190	1188
Thu Mar 28 13:10:20 2019	1553789420	0	3190	3190	1189
Thu Mar 28 13:12:05 2019	1553789525	0	3191	3191	1189
Thu Mar 28 13:10:22 2019	1553789422	0	3191	3191	1189
Thu Mar 28 13:12:55 2019	1553789575	0	3191	3191	1191
Thu Mar 28 13:10:42 2019	1553789442	1	3191	3191	1190
Thu Mar 28 13:10:34 2019	1553789434	0	3191	3192	1188
Thu Mar 28 13:12:53 2019	1553789573	0	3191	3192	1190
Thu Mar 28 13:12:51 2019	1553789571	0	3192	3192	1191
Thu Mar 28 13:10:26 2019	1553789426	0	3192	3192	1191
Thu Mar 28 13:10:30 2019	1553789430	0	3192	3192	1191
Thu Mar 28 13:12:49 2019	1553789569	0	3192	3192	1189
Thu Mar 28 13:10:44 2019	1553789444	0	3192	3193	1191
Thu Mar 28 13:12:15 2019	1553789535	0	3193	3193	1192
Thu Mar 28 13:13:03 2019	1553789583	0	3193	3193	1192
Thu Mar 28 13:12:07 2019	1553789527	0	3193	3194	1191
Thu Mar 28 13:10:24 2019	1553789424	0	3193	3194	1190
Thu Mar 28 13:14:51 2019	1553789691	0	3194	3194	1193
Thu Mar 28 13:13:01 2019	1553789581	0	3194	3194	1192
Thu Mar 28 13:14:49 2019	1553789689	0	3194	3194	1193
Thu Mar 28 13:13:25 2019	1553789605	0	3195	3195	1194
Thu Mar 28 13:13:05 2019	1553789585	0	3195	3195	1192
Thu Mar 28 13:14:47 2019	1553789687	1	3195	3195	1194
Thu Mar 28 13:13:21 2019	1553789601	0	3195	3196	1194
Thu Mar 28 13:13:09 2019	1553789589	0	3196	3196	1196
Thu Mar 28 13:13:17 2019	1553789597	0	3196	3196	1195
Thu Mar 28 13:13:19 2019	1553789599	0	3196	3196	1194
Thu Mar 28 13:14:45 2019	1553789685	0	3196	3197	1196
Thu Mar 28 13:14:43 2019	1553789683	0	3197	3197	1197
Thu Mar 28 13:13:31 2019	1553789611	0	3197	3198	1196
Thu Mar 28 13:13:11 2019	1553789591	1	3197	3198	1193
Thu Mar 28 13:13:07 2019	1553789587	0	3198	3198	1195
Thu Mar 28 13:14:19 2019	1553789659	0	3198	3198	1196
Thu Mar 28 13:14:15 2019	1553789655	0	3198	3198	1197
Thu Mar 28 13:14:37 2019	1553789677	1	3199	3199	1198
Thu Mar 28 13:14:01 2019	1553789641	0	3200	3200	1200
Thu Mar 28 13:14:25 2019	1553789665	0	3200	3200	1198
Thu Mar 28 13:13:59 2019	1553789639	0	3200	3201	1199
Thu Mar 28 13:14:35 2019	1553789675	0	3201	3201	1201
Thu Mar 28 13:13:55 2019	1553789635	0	3201	3201	1199
