starttime	seconds	ctime	dtime	ttime	wait
Thu Mar 28 10:33:00 2019	1553779980	0	2004	2004	1
Thu Mar 28 10:33:00 2019	1553779980	0	2006	2007	2
Thu Mar 28 10:33:00 2019	1553779980	1	2006	2007	2
Thu Mar 28 10:33:00 2019	1553779980	0	2007	2007	1
Thu Mar 28 10:37:00 2019	1553780220	0	3804	3804	1803
Thu Mar 28 10:36:00 2019	1553780160	0	3999	3999	1998
Thu Mar 28 10:33:44 2019	1553780024	0	3999	3999	1998
Thu Mar 28 10:36:48 2019	1553780208	0	3999	4000	2000
Thu Mar 28 10:37:22 2019	1553780242	0	4000	4000	1999
Thu Mar 28 10:37:34 2019	1553780254	0	4000	4000	1999
Thu Mar 28 10:37:26 2019	1553780246	0	4000	4000	1998
Thu Mar 28 10:33:50 2019	1553780030	1	3999	4000	1998
Thu Mar 28 10:37:24 2019	1553780244	0	4000	4001	2000
Thu Mar 28 10:33:08 2019	1553779988	0	4000	4001	2000
Thu Mar 28 10:35:50 2019	1553780150	0	4001	4001	2000
Thu Mar 28 10:33:18 2019	1553779998	0	4001	4001	2000
Thu Mar 28 10:35:54 2019	1553780154	1	4000	4001	1998
Thu Mar 28 10:37:20 2019	1553780240	1	4000	4001	2000
Thu Mar 28 10:37:28 2019	1553780248	0	4001	4001	2000
Thu Mar 28 10:37:08 2019	1553780228	0	4001	4001	2000
Thu Mar 28 10:35:38 2019	1553780138	0	4001	4001	2000
Thu Mar 28 10:37:18 2019	1553780238	0	4001	4001	2000
Thu Mar 28 10:33:30 2019	1553780010	0	4001	4001	2000
Thu Mar 28 10:36:16 2019	1553780176	1	4000	4001	2000
Thu Mar 28 10:37:40 2019	1553780260	0	4001	4001	2001
Thu Mar 28 10:37:04 2019	1553780224	0	4001	4001	2001
Thu Mar 28 10:33:42 2019	1553780022	0	4001	4001	2003
Thu Mar 28 10:35:52 2019	1553780152	0	4001	4001	2001
Thu Mar 28 10:34:28 2019	1553780068	0	4001	4001	2002
Thu Mar 28 10:35:52 2019	1553780152	0	4001	4001	2002
Thu Mar 28 10:36:02 2019	1553780162	0	4001	4002	2000
Thu Mar 28 10:35:04 2019	1553780104	0	4001	4002	2000
Thu Mar 28 10:36:38 2019	1553780198	0	4001	4002	2000
Thu Mar 28 10:37:02 2019	1553780222	0	4001	4002	2001
Thu Mar 28 10:34:06 2019	1553780046	1	4001	4002	1999
Thu Mar 28 10:36:50 2019	1553780210	1	4001	4002	1999
Thu Mar 28 10:37:38 2019	1553780258	0	4002	4002	2002
Thu Mar 28 10:37:30 2019	1553780250	0	4002	4002	2001
Thu Mar 28 10:37:48 2019	1553780268	0	4002	4002	2001
Thu Mar 28 10:35:08 2019	1553780108	0	4002	4002	2000
Thu Mar 28 10:33:50 2019	1553780030	0	4001	4002	2001
Thu Mar 28 10:35:48 2019	1553780148	0	4002	4002	2002
Thu Mar 28 10:37:46 2019	1553780266	0	4002	4002	2002
Thu Mar 28 10:35:02 2019	1553780102	0	4002	4002	2002
Thu Mar 28 10:33:24 2019	1553780004	0	4002	4002	1999
Thu Mar 28 10:36:08 2019	1553780168	1	4001	4002	2000
Thu Mar 28 10:34:38 2019	1553780078	0	4002	4002	2000
Thu Mar 28 10:37:10 2019	1553780230	0	4002	4002	2000
Thu Mar 28 10:34:00 2019	1553780040	0	4001	4002	2001
Thu Mar 28 10:34:54 2019	1553780094	0	4002	4002	2002
Thu Mar 28 10:36:36 2019	1553780196	0	4002	4002	2002
Thu Mar 28 10:36:18 2019	1553780178	1	4001	4002	2001
Thu Mar 28 10:37:26 2019	1553780246	0	4002	4002	2001
Thu Mar 28 10:37:14 2019	1553780234	0	4002	4002	2001
Thu Mar 28 10:37:10 2019	1553780230	0	4002	4002	2001
Thu Mar 28 10:34:14 2019	1553780054	1	4001	4002	2002
Thu Mar 28 10:33:28 2019	1553780008	0	4002	4002	2004
Thu Mar 28 10:37:52 2019	1553780272	1	4001	4002	2001
Thu Mar 28 10:33:36 2019	1553780016	1	4001	4002	2001
Thu Mar 28 10:37:56 2019	1553780276	1	4001	4002	2000
Thu Mar 28 10:35:02 2019	1553780102	0	4002	4002	2002
Thu Mar 28 10:33:58 2019	1553780038	0	4002	4002	2002
Thu Mar 28 10:35:46 2019	1553780146	1	4001	4002	1999
Thu Mar 28 10:37:54 2019	1553780274	0	4002	4002	2002
Thu Mar 28 10:37:00 2019	1553780220	0	4002	4002	2002
Thu Mar 28 10:35:40 2019	1553780140	0	4002	4002	2001
Thu Mar 28 10:37:04 2019	1553780224	0	4002	4002	2001
Thu Mar 28 10:35:46 2019	1553780146	2	4000	4002	1999
Thu Mar 28 10:34:46 2019	1553780086	1	4002	4002	2001
Thu Mar 28 10:36:36 2019	1553780196	0	4002	4002	2002
Thu Mar 28 10:35:58 2019	1553780158	1	4002	4002	2004
Thu Mar 28 10:35:14 2019	1553780114	0	4002	4002	2001
Thu Mar 28 10:34:16 2019	1553780056	1	4002	4002	2000
Thu Mar 28 10:36:42 2019	1553780202	0	4002	4002	2002
Thu Mar 28 10:35:38 2019	1553780138	0	4002	4002	2002
Thu Mar 28 10:35:30 2019	1553780130	0	4002	4002	2000
Thu Mar 28 10:37:02 2019	1553780222	1	4002	4002	2002
Thu Mar 28 10:36:56 2019	1553780216	0	4002	4002	2003
Thu Mar 28 10:37:42 2019	1553780262	1	4002	4002	2001
Thu Mar 28 10:36:02 2019	1553780162	1	4002	4002	2000
Thu Mar 28 10:34:30 2019	1553780070	0	4002	4002	2002
Thu Mar 28 10:36:18 2019	1553780178	0	4002	4002	2001
Thu Mar 28 10:37:16 2019	1553780236	0	4002	4002	2001
Thu Mar 28 10:37:20 2019	1553780240	0	4002	4002	2001
Thu Mar 28 10:35:48 2019	1553780148	0	4002	4002	2002
Thu Mar 28 10:34:04 2019	1553780044	0	4002	4002	2002
Thu Mar 28 10:36:00 2019	1553780160	0	4002	4002	2002
Thu Mar 28 10:36:48 2019	1553780208	0	4002	4002	2001
Thu Mar 28 10:37:32 2019	1553780252	0	4002	4003	2004
Thu Mar 28 10:35:40 2019	1553780140	0	4002	4003	2001
Thu Mar 28 10:35:44 2019	1553780144	0	4002	4003	2004
Thu Mar 28 10:37:38 2019	1553780258	0	4002	4003	2002
Thu Mar 28 10:34:06 2019	1553780046	0	4002	4003	2001
Thu Mar 28 10:36:50 2019	1553780210	0	4002	4003	2002
Thu Mar 28 10:37:16 2019	1553780236	0	4003	4003	2001
Thu Mar 28 10:33:56 2019	1553780036	0	4002	4003	2002
Thu Mar 28 10:37:36 2019	1553780256	0	4002	4003	2002
Thu Mar 28 10:33:32 2019	1553780012	0	4003	4003	2003
Thu Mar 28 10:36:06 2019	1553780166	0	4003	4003	2004
Thu Mar 28 10:36:30 2019	1553780190	0	4003	4003	2002
Thu Mar 28 10:36:58 2019	1553780218	0	4003	4003	2001
Thu Mar 28 10:33:48 2019	1553780028	0	4002	4003	2004
Thu Mar 28 10:33:22 2019	1553780002	0	4002	4003	2003
Thu Mar 28 10:37:12 2019	1553780232	0	4003	4003	2002
Thu Mar 28 10:35:54 2019	1553780154	1	4002	4003	2000
Thu Mar 28 10:36:20 2019	1553780180	0	4003	4003	2003
Thu Mar 28 10:36:20 2019	1553780180	0	4003	4003	2002
Thu Mar 28 10:34:34 2019	1553780074	0	4003	4003	2002
Thu Mar 28 10:36:10 2019	1553780170	0	4003	4003	2002
Thu Mar 28 10:33:28 2019	1553780008	0	4003	4003	2003
Thu Mar 28 10:36:40 2019	1553780200	0	4003	4003	2003
Thu Mar 28 10:36:04 2019	1553780164	0	4003	4003	2002
Thu Mar 28 10:34:22 2019	1553780062	0	4003	4003	2001
Thu Mar 28 10:37:50 2019	1553780270	0	4003	4003	2002
Thu Mar 28 10:37:24 2019	1553780244	0	4003	4003	2003
Thu Mar 28 10:36:40 2019	1553780200	0	4003	4003	2002
Thu Mar 28 10:37:44 2019	1553780264	0	4003	4003	2003
Thu Mar 28 10:34:00 2019	1553780040	1	4003	4003	2002
Thu Mar 28 10:35:50 2019	1553780150	1	4002	4003	2001
Thu Mar 28 10:34:08 2019	1553780048	0	4003	4003	2002
Thu Mar 28 10:35:10 2019	1553780110	0	4003	4003	2001
Thu Mar 28 10:37:06 2019	1553780226	0	4003	4003	2002
Thu Mar 28 10:36:10 2019	1553780170	0	4003	4003	2003
Thu Mar 28 10:35:36 2019	1553780136	0	4003	4003	2003
Thu Mar 28 10:35:00 2019	1553780100	0	4003	4003	2002
Thu Mar 28 10:33:10 2019	1553779990	0	4003	4003	2001
Thu Mar 28 10:36:58 2019	1553780218	0	4003	4003	2002
Thu Mar 28 10:36:26 2019	1553780186	0	4003	4003	2002
Thu Mar 28 10:36:08 2019	1553780168	0	4003	4003	2003
Thu Mar 28 10:34:10 2019	1553780050	1	4003	4003	2001
Thu Mar 28 10:34:36 2019	1553780076	0	4003	4003	2005
Thu Mar 28 10:35:44 2019	1553780144	0	4003	4003	2003
Thu Mar 28 10:37:18 2019	1553780238	0	4003	4003	2003
Thu Mar 28 10:33:06 2019	1553779986	0	4003	4003	2004
Thu Mar 28 10:33:42 2019	1553780022	0	4003	4003	2006
Thu Mar 28 10:34:36 2019	1553780076	0	4003	4003	2003
Thu Mar 28 10:36:12 2019	1553780172	0	4003	4003	2001
Thu Mar 28 10:36:28 2019	1553780188	0	4003	4003	2002
Thu Mar 28 10:35:28 2019	1553780128	0	4003	4004	2003
Thu Mar 28 10:35:16 2019	1553780116	1	4003	4004	2001
Thu Mar 28 10:34:22 2019	1553780062	0	4003	4004	2003
Thu Mar 28 10:36:56 2019	1553780216	0	4003	4004	2003
Thu Mar 28 10:33:38 2019	1553780018	0	4003	4004	2004
Thu Mar 28 10:34:12 2019	1553780052	0	4003	4004	2002
Thu Mar 28 10:35:32 2019	1553780132	0	4004	4004	2003
Thu Mar 28 10:36:06 2019	1553780166	0	4004	4004	2002
Thu Mar 28 10:34:02 2019	1553780042	0	4004	4004	2001
Thu Mar 28 10:37:22 2019	1553780242	0	4004	4004	2003
Thu Mar 28 10:33:44 2019	1553780024	0	4003	4004	2000
Thu Mar 28 10:33:52 2019	1553780032	1	4003	4004	2002
Thu Mar 28 10:33:36 2019	1553780016	0	4004	4004	2003
Thu Mar 28 10:33:12 2019	1553779992	0	4003	4004	2002
Thu Mar 28 10:36:22 2019	1553780182	0	4004	4004	2003
Thu Mar 28 10:33:12 2019	1553779992	0	4004	4004	2003
Thu Mar 28 10:35:00 2019	1553780100	0	4004	4004	2003
Thu Mar 28 10:35:56 2019	1553780156	0	4004	4004	2001
Thu Mar 28 10:34:56 2019	1553780096	0	4004	4004	2003
Thu Mar 28 10:36:38 2019	1553780198	0	4004	4004	2002
Thu Mar 28 10:33:10 2019	1553779990	0	4004	4004	2000
Thu Mar 28 10:35:08 2019	1553780108	0	4004	4004	2003
Thu Mar 28 10:34:16 2019	1553780056	0	4004	4004	2001
Thu Mar 28 10:33:18 2019	1553779998	0	4004	4004	2003
Thu Mar 28 10:34:56 2019	1553780096	0	4004	4004	2004
Thu Mar 28 10:33:04 2019	1553779984	0	4004	4004	2003
Thu Mar 28 10:34:44 2019	1553780084	1	4003	4004	2001
Thu Mar 28 10:34:58 2019	1553780098	0	4004	4004	2002
Thu Mar 28 10:36:54 2019	1553780214	0	4004	4004	2002
Thu Mar 28 10:35:20 2019	1553780120	1	4003	4004	2003
Thu Mar 28 10:34:38 2019	1553780078	0	4004	4004	2002
Thu Mar 28 10:36:04 2019	1553780164	0	4004	4004	2001
Thu Mar 28 10:36:24 2019	1553780184	0	4004	4004	2004
Thu Mar 28 10:34:32 2019	1553780072	0	4004	4004	2003
Thu Mar 28 10:33:54 2019	1553780034	0	4004	4004	2004
Thu Mar 28 10:34:02 2019	1553780042	0	4004	4004	2003
Thu Mar 28 10:35:58 2019	1553780158	0	4004	4004	2002
Thu Mar 28 10:33:58 2019	1553780038	0	4004	4004	2004
Thu Mar 28 10:35:04 2019	1553780104	1	4003	4004	2002
Thu Mar 28 10:33:34 2019	1553780014	0	4004	4004	2004
Thu Mar 28 10:35:20 2019	1553780120	0	4004	4004	2003
Thu Mar 28 10:34:30 2019	1553780070	0	4004	4004	2004
Thu Mar 28 10:35:32 2019	1553780132	0	4004	4004	2004
Thu Mar 28 10:34:48 2019	1553780088	0	4004	4004	2004
Thu Mar 28 10:36:14 2019	1553780174	0	4004	4004	2005
Thu Mar 28 10:34:08 2019	1553780048	0	4004	4004	2004
Thu Mar 28 10:35:06 2019	1553780106	0	4004	4005	2003
Thu Mar 28 10:34:34 2019	1553780074	0	4004	4005	2004
Thu Mar 28 10:33:38 2019	1553780018	0	4004	4005	2005
Thu Mar 28 10:34:28 2019	1553780068	1	4004	4005	2003
Thu Mar 28 10:33:46 2019	1553780026	0	4005	4005	2003
Thu Mar 28 10:35:22 2019	1553780122	0	4004	4005	2004
Thu Mar 28 10:33:24 2019	1553780004	0	4005	4005	2000
Thu Mar 28 10:34:18 2019	1553780058	0	4005	4005	2003
Thu Mar 28 10:33:48 2019	1553780028	0	4005	4005	2003
Thu Mar 28 10:34:12 2019	1553780052	0	4005	4005	2004
Thu Mar 28 10:35:12 2019	1553780112	0	4005	4005	2004
Thu Mar 28 10:34:10 2019	1553780050	0	4005	4005	2004
Thu Mar 28 10:33:22 2019	1553780002	0	4005	4005	2006
