starttime	seconds	ctime	dtime	ttime	wait
Wed Mar 27 12:30:04 2019	1553700604	0	2002	2002	1
Wed Mar 27 12:30:04 2019	1553700604	1	2002	2003	1
Wed Mar 27 12:30:04 2019	1553700604	0	4003	4003	2003
Wed Mar 27 12:30:04 2019	1553700604	0	4004	4005	2003
Wed Mar 27 12:30:04 2019	1553700604	0	6004	6005	4004
Wed Mar 27 12:30:04 2019	1553700604	0	6005	6005	4005
Wed Mar 27 12:30:04 2019	1553700604	0	8005	8006	6005
Wed Mar 27 12:30:04 2019	1553700604	0	8006	8006	6006
Wed Mar 27 12:36:04 2019	1553700964	0	10004	10004	8004
Wed Mar 27 12:31:58 2019	1553700718	1	10004	10004	8004
Wed Mar 27 12:32:54 2019	1553700774	0	10004	10004	8004
Wed Mar 27 12:32:46 2019	1553700766	0	10004	10005	8005
Wed Mar 27 12:36:04 2019	1553700964	0	10004	10005	8004
Wed Mar 27 12:31:56 2019	1553700716	0	10005	10005	8004
Wed Mar 27 12:35:44 2019	1553700944	0	10005	10005	8004
Wed Mar 27 12:36:06 2019	1553700966	0	10005	10005	8005
Wed Mar 27 12:35:44 2019	1553700944	0	10005	10005	8004
Wed Mar 27 12:34:42 2019	1553700882	0	10005	10005	8005
Wed Mar 27 12:36:30 2019	1553700990	0	10005	10005	8005
Wed Mar 27 12:35:28 2019	1553700928	0	10005	10005	8005
Wed Mar 27 12:35:42 2019	1553700942	0	10005	10005	8005
Wed Mar 27 12:32:54 2019	1553700774	0	10005	10005	8003
Wed Mar 27 12:35:42 2019	1553700942	0	10005	10005	8005
Wed Mar 27 12:32:48 2019	1553700768	0	10005	10005	8005
Wed Mar 27 12:35:26 2019	1553700926	1	10005	10005	8004
Wed Mar 27 12:34:50 2019	1553700890	0	10005	10005	8005
Wed Mar 27 12:36:06 2019	1553700966	0	10005	10005	8005
Wed Mar 27 12:35:40 2019	1553700940	0	10005	10005	8005
Wed Mar 27 12:34:58 2019	1553700898	0	10005	10005	8005
Wed Mar 27 12:34:56 2019	1553700896	0	10005	10005	8005
Wed Mar 27 12:35:04 2019	1553700904	0	10005	10005	8005
Wed Mar 27 12:32:08 2019	1553700728	2	10004	10005	8003
Wed Mar 27 12:35:30 2019	1553700930	0	10005	10005	8004
Wed Mar 27 12:35:32 2019	1553700932	0	10005	10005	8005
Wed Mar 27 12:35:46 2019	1553700946	0	10005	10005	8005
Wed Mar 27 12:35:02 2019	1553700902	1	10004	10005	8004
Wed Mar 27 12:32:44 2019	1553700764	0	10005	10005	8005
Wed Mar 27 12:35:16 2019	1553700916	0	10005	10005	8005
Wed Mar 27 12:32:52 2019	1553700772	0	10005	10005	8005
Wed Mar 27 12:33:16 2019	1553700796	0	10005	10005	8005
Wed Mar 27 12:34:52 2019	1553700892	0	10005	10005	8005
Wed Mar 27 12:31:58 2019	1553700718	0	10005	10005	8003
Wed Mar 27 12:35:00 2019	1553700900	0	10005	10005	8005
Wed Mar 27 12:34:48 2019	1553700888	0	10005	10005	8005
Wed Mar 27 12:34:54 2019	1553700894	0	10005	10005	8005
Wed Mar 27 12:33:14 2019	1553700794	0	10005	10005	8005
Wed Mar 27 12:30:36 2019	1553700636	0	10005	10005	8005
Wed Mar 27 12:32:00 2019	1553700720	0	10005	10006	8007
Wed Mar 27 12:33:38 2019	1553700818	0	10005	10006	8005
Wed Mar 27 12:35:58 2019	1553700958	0	10005	10006	8005
Wed Mar 27 12:35:06 2019	1553700906	0	10006	10006	8005
Wed Mar 27 12:33:34 2019	1553700814	0	10006	10006	8005
Wed Mar 27 12:32:52 2019	1553700772	0	10006	10006	8005
Wed Mar 27 12:32:02 2019	1553700722	0	10006	10006	8005
Wed Mar 27 12:36:08 2019	1553700968	0	10006	10006	8005
Wed Mar 27 12:33:36 2019	1553700816	0	10006	10006	8005
Wed Mar 27 12:36:00 2019	1553700960	0	10006	10006	8005
Wed Mar 27 12:30:54 2019	1553700654	0	10006	10006	8005
Wed Mar 27 12:36:18 2019	1553700978	0	10006	10006	8005
Wed Mar 27 12:32:50 2019	1553700770	0	10006	10006	8005
Wed Mar 27 12:30:38 2019	1553700638	0	10006	10006	8005
Wed Mar 27 12:32:56 2019	1553700776	0	10006	10006	8006
Wed Mar 27 12:30:32 2019	1553700632	1	10005	10006	8005
Wed Mar 27 12:34:42 2019	1553700882	1	10004	10006	8003
Wed Mar 27 12:33:16 2019	1553700796	0	10006	10006	8005
Wed Mar 27 12:35:48 2019	1553700948	0	10006	10006	8006
Wed Mar 27 12:35:14 2019	1553700914	0	10006	10006	8005
Wed Mar 27 12:31:30 2019	1553700690	0	10006	10006	8005
Wed Mar 27 12:32:04 2019	1553700724	0	10006	10006	8005
Wed Mar 27 12:36:00 2019	1553700960	1	10005	10006	8005
Wed Mar 27 12:33:12 2019	1553700792	0	10006	10006	8005
Wed Mar 27 12:31:22 2019	1553700682	0	10006	10006	8005
Wed Mar 27 12:35:50 2019	1553700950	0	10006	10006	8005
Wed Mar 27 12:35:38 2019	1553700938	0	10006	10006	8005
Wed Mar 27 12:30:34 2019	1553700634	0	10006	10006	8005
Wed Mar 27 12:35:56 2019	1553700956	0	10006	10006	8006
Wed Mar 27 12:30:56 2019	1553700656	0	10006	10006	8005
Wed Mar 27 12:36:36 2019	1553700996	0	10006	10006	8005
Wed Mar 27 12:32:40 2019	1553700760	0	10006	10006	8005
Wed Mar 27 12:33:10 2019	1553700790	0	10006	10006	8005
Wed Mar 27 12:35:40 2019	1553700940	0	10006	10006	8005
Wed Mar 27 12:30:26 2019	1553700626	1	10005	10006	8005
Wed Mar 27 12:36:02 2019	1553700962	0	10006	10006	8006
Wed Mar 27 12:32:42 2019	1553700762	0	10006	10006	8005
Wed Mar 27 12:31:26 2019	1553700686	0	10006	10006	8005
Wed Mar 27 12:30:30 2019	1553700630	0	10006	10006	8006
Wed Mar 27 12:31:28 2019	1553700688	0	10006	10006	8005
Wed Mar 27 12:31:24 2019	1553700684	0	10006	10006	8006
Wed Mar 27 12:32:06 2019	1553700726	0	10006	10006	8006
Wed Mar 27 12:39:26 2019	1553701166	0	10006	10006	8005
Wed Mar 27 12:31:20 2019	1553700680	0	10006	10006	8005
Wed Mar 27 12:36:10 2019	1553700970	0	10006	10006	8005
Wed Mar 27 12:33:42 2019	1553700822	0	10006	10006	8006
Wed Mar 27 12:31:40 2019	1553700700	0	10006	10006	8005
Wed Mar 27 12:33:18 2019	1553700798	0	10006	10006	8006
Wed Mar 27 12:36:34 2019	1553700994	0	10006	10006	8006
Wed Mar 27 12:34:02 2019	1553700842	0	10006	10006	8005
